UT,MJD,C/2017 K2 X,C/2017 K2 Y,C/2017 K2 Z
47892,1990-01-01 0:00:00,-1.931,12.805,54.64
47893,1990-01-02 0:00:00,-1.931,12.804,54.637
47894,1990-01-03 0:00:00,-1.931,12.802,54.634
47895,1990-01-04 0:00:00,-1.93,12.801,54.631
47896,1990-01-05 0:00:00,-1.93,12.8,54.628
47897,1990-01-06 0:00:00,-1.93,12.798,54.625
47898,1990-01-07 0:00:00,-1.93,12.797,54.622
47899,1990-01-08 0:00:00,-1.93,12.796,54.619
47900,1990-01-09 0:00:00,-1.93,12.795,54.616
47901,1990-01-10 0:00:00,-1.93,12.793,54.613
47902,1990-01-11 0:00:00,-1.93,12.792,54.61
47903,1990-01-12 0:00:00,-1.93,12.791,54.607
47904,1990-01-13 0:00:00,-1.93,12.789,54.604
47905,1990-01-14 0:00:00,-1.93,12.788,54.601
47906,1990-01-15 0:00:00,-1.93,12.787,54.598
47907,1990-01-16 0:00:00,-1.929,12.785,54.595
47908,1990-01-17 0:00:00,-1.929,12.784,54.592
47909,1990-01-18 0:00:00,-1.929,12.783,54.589
47910,1990-01-19 0:00:00,-1.929,12.782,54.586
47911,1990-01-20 0:00:00,-1.929,12.78,54.583
47912,1990-01-21 0:00:00,-1.929,12.779,54.58
47913,1990-01-22 0:00:00,-1.929,12.778,54.577
47914,1990-01-23 0:00:00,-1.929,12.776,54.574
47915,1990-01-24 0:00:00,-1.929,12.775,54.571
47916,1990-01-25 0:00:00,-1.929,12.774,54.568
47917,1990-01-26 0:00:00,-1.929,12.772,54.565
47918,1990-01-27 0:00:00,-1.928,12.771,54.562
47919,1990-01-28 0:00:00,-1.928,12.77,54.559
47920,1990-01-29 0:00:00,-1.928,12.769,54.556
47921,1990-01-30 0:00:00,-1.928,12.767,54.553
47922,1990-01-31 0:00:00,-1.928,12.766,54.55
47923,1990-02-01 0:00:00,-1.928,12.765,54.547
47924,1990-02-02 0:00:00,-1.928,12.763,54.544
47925,1990-02-03 0:00:00,-1.928,12.762,54.541
47926,1990-02-04 0:00:00,-1.928,12.761,54.538
47927,1990-02-05 0:00:00,-1.928,12.76,54.535
47928,1990-02-06 0:00:00,-1.928,12.758,54.532
47929,1990-02-07 0:00:00,-1.928,12.757,54.529
47930,1990-02-08 0:00:00,-1.927,12.756,54.526
47931,1990-02-09 0:00:00,-1.927,12.754,54.524
47932,1990-02-10 0:00:00,-1.927,12.753,54.521
47933,1990-02-11 0:00:00,-1.927,12.752,54.518
47934,1990-02-12 0:00:00,-1.927,12.75,54.515
47935,1990-02-13 0:00:00,-1.927,12.749,54.512
47936,1990-02-14 0:00:00,-1.927,12.748,54.509
47937,1990-02-15 0:00:00,-1.927,12.747,54.506
47938,1990-02-16 0:00:00,-1.927,12.745,54.503
47939,1990-02-17 0:00:00,-1.927,12.744,54.5
47940,1990-02-18 0:00:00,-1.927,12.743,54.497
47941,1990-02-19 0:00:00,-1.926,12.741,54.494
47942,1990-02-20 0:00:00,-1.926,12.74,54.491
47943,1990-02-21 0:00:00,-1.926,12.739,54.488
47944,1990-02-22 0:00:00,-1.926,12.737,54.485
47945,1990-02-23 0:00:00,-1.926,12.736,54.482
47946,1990-02-24 0:00:00,-1.926,12.735,54.479
47947,1990-02-25 0:00:00,-1.926,12.734,54.476
47948,1990-02-26 0:00:00,-1.926,12.732,54.473
47949,1990-02-27 0:00:00,-1.926,12.731,54.47
47950,1990-02-28 0:00:00,-1.926,12.73,54.467
47951,1990-03-01 0:00:00,-1.926,12.728,54.464
47952,1990-03-02 0:00:00,-1.925,12.727,54.461
47953,1990-03-03 0:00:00,-1.925,12.726,54.458
47954,1990-03-04 0:00:00,-1.925,12.724,54.455
47955,1990-03-05 0:00:00,-1.925,12.723,54.452
47956,1990-03-06 0:00:00,-1.925,12.722,54.449
47957,1990-03-07 0:00:00,-1.925,12.721,54.446
47958,1990-03-08 0:00:00,-1.925,12.719,54.443
47959,1990-03-09 0:00:00,-1.925,12.718,54.44
47960,1990-03-10 0:00:00,-1.925,12.717,54.437
47961,1990-03-11 0:00:00,-1.925,12.715,54.434
47962,1990-03-12 0:00:00,-1.925,12.714,54.431
47963,1990-03-13 0:00:00,-1.925,12.713,54.428
47964,1990-03-14 0:00:00,-1.924,12.711,54.425
47965,1990-03-15 0:00:00,-1.924,12.71,54.422
47966,1990-03-16 0:00:00,-1.924,12.709,54.419
47967,1990-03-17 0:00:00,-1.924,12.708,54.416
47968,1990-03-18 0:00:00,-1.924,12.706,54.413
47969,1990-03-19 0:00:00,-1.924,12.705,54.41
47970,1990-03-20 0:00:00,-1.924,12.704,54.407
47971,1990-03-21 0:00:00,-1.924,12.702,54.404
47972,1990-03-22 0:00:00,-1.924,12.701,54.401
47973,1990-03-23 0:00:00,-1.924,12.7,54.398
47974,1990-03-24 0:00:00,-1.924,12.698,54.395
47975,1990-03-25 0:00:00,-1.923,12.697,54.392
47976,1990-03-26 0:00:00,-1.923,12.696,54.389
47977,1990-03-27 0:00:00,-1.923,12.695,54.386
47978,1990-03-28 0:00:00,-1.923,12.693,54.383
47979,1990-03-29 0:00:00,-1.923,12.692,54.38
47980,1990-03-30 0:00:00,-1.923,12.691,54.377
47981,1990-03-31 0:00:00,-1.923,12.689,54.374
47982,1990-04-01 0:00:00,-1.923,12.688,54.371
47983,1990-04-02 0:00:00,-1.923,12.687,54.368
47984,1990-04-03 0:00:00,-1.923,12.686,54.365
47985,1990-04-04 0:00:00,-1.923,12.684,54.362
47986,1990-04-05 0:00:00,-1.923,12.683,54.359
47987,1990-04-06 0:00:00,-1.922,12.682,54.356
47988,1990-04-07 0:00:00,-1.922,12.68,54.353
47989,1990-04-08 0:00:00,-1.922,12.679,54.35
47990,1990-04-09 0:00:00,-1.922,12.678,54.347
47991,1990-04-10 0:00:00,-1.922,12.676,54.344
47992,1990-04-11 0:00:00,-1.922,12.675,54.341
47993,1990-04-12 0:00:00,-1.922,12.674,54.338
47994,1990-04-13 0:00:00,-1.922,12.673,54.335
47995,1990-04-14 0:00:00,-1.922,12.671,54.332
47996,1990-04-15 0:00:00,-1.922,12.67,54.329
47997,1990-04-16 0:00:00,-1.922,12.669,54.326
47998,1990-04-17 0:00:00,-1.921,12.667,54.323
47999,1990-04-18 0:00:00,-1.921,12.666,54.32
48000,1990-04-19 0:00:00,-1.921,12.665,54.317
48001,1990-04-20 0:00:00,-1.921,12.663,54.314
48002,1990-04-21 0:00:00,-1.921,12.662,54.311
48003,1990-04-22 0:00:00,-1.921,12.661,54.308
48004,1990-04-23 0:00:00,-1.921,12.66,54.305
48005,1990-04-24 0:00:00,-1.921,12.658,54.302
48006,1990-04-25 0:00:00,-1.921,12.657,54.299
48007,1990-04-26 0:00:00,-1.921,12.656,54.296
48008,1990-04-27 0:00:00,-1.921,12.654,54.293
48009,1990-04-28 0:00:00,-1.921,12.653,54.29
48010,1990-04-29 0:00:00,-1.92,12.652,54.287
48011,1990-04-30 0:00:00,-1.92,12.65,54.284
48012,1990-05-01 0:00:00,-1.92,12.649,54.281
48013,1990-05-02 0:00:00,-1.92,12.648,54.278
48014,1990-05-03 0:00:00,-1.92,12.647,54.275
48015,1990-05-04 0:00:00,-1.92,12.645,54.272
48016,1990-05-05 0:00:00,-1.92,12.644,54.269
48017,1990-05-06 0:00:00,-1.92,12.643,54.266
48018,1990-05-07 0:00:00,-1.92,12.641,54.263
48019,1990-05-08 0:00:00,-1.92,12.64,54.26
48020,1990-05-09 0:00:00,-1.92,12.639,54.257
48021,1990-05-10 0:00:00,-1.919,12.637,54.254
48022,1990-05-11 0:00:00,-1.919,12.636,54.251
48023,1990-05-12 0:00:00,-1.919,12.635,54.248
48024,1990-05-13 0:00:00,-1.919,12.634,54.245
48025,1990-05-14 0:00:00,-1.919,12.632,54.242
48026,1990-05-15 0:00:00,-1.919,12.631,54.239
48027,1990-05-16 0:00:00,-1.919,12.63,54.236
48028,1990-05-17 0:00:00,-1.919,12.628,54.233
48029,1990-05-18 0:00:00,-1.919,12.627,54.23
48030,1990-05-19 0:00:00,-1.919,12.626,54.227
48031,1990-05-20 0:00:00,-1.919,12.624,54.224
48032,1990-05-21 0:00:00,-1.918,12.623,54.221
48033,1990-05-22 0:00:00,-1.918,12.622,54.218
48034,1990-05-23 0:00:00,-1.918,12.621,54.215
48035,1990-05-24 0:00:00,-1.918,12.619,54.212
48036,1990-05-25 0:00:00,-1.918,12.618,54.209
48037,1990-05-26 0:00:00,-1.918,12.617,54.206
48038,1990-05-27 0:00:00,-1.918,12.615,54.203
48039,1990-05-28 0:00:00,-1.918,12.614,54.2
48040,1990-05-29 0:00:00,-1.918,12.613,54.197
48041,1990-05-30 0:00:00,-1.918,12.611,54.194
48042,1990-05-31 0:00:00,-1.918,12.61,54.191
48043,1990-06-01 0:00:00,-1.918,12.609,54.188
48044,1990-06-02 0:00:00,-1.917,12.608,54.185
48045,1990-06-03 0:00:00,-1.917,12.606,54.182
48046,1990-06-04 0:00:00,-1.917,12.605,54.179
48047,1990-06-05 0:00:00,-1.917,12.604,54.176
48048,1990-06-06 0:00:00,-1.917,12.602,54.173
48049,1990-06-07 0:00:00,-1.917,12.601,54.17
48050,1990-06-08 0:00:00,-1.917,12.6,54.167
48051,1990-06-09 0:00:00,-1.917,12.598,54.164
48052,1990-06-10 0:00:00,-1.917,12.597,54.161
48053,1990-06-11 0:00:00,-1.917,12.596,54.158
48054,1990-06-12 0:00:00,-1.917,12.595,54.155
48055,1990-06-13 0:00:00,-1.916,12.593,54.152
48056,1990-06-14 0:00:00,-1.916,12.592,54.149
48057,1990-06-15 0:00:00,-1.916,12.591,54.146
48058,1990-06-16 0:00:00,-1.916,12.589,54.143
48059,1990-06-17 0:00:00,-1.916,12.588,54.14
48060,1990-06-18 0:00:00,-1.916,12.587,54.137
48061,1990-06-19 0:00:00,-1.916,12.585,54.134
48062,1990-06-20 0:00:00,-1.916,12.584,54.131
48063,1990-06-21 0:00:00,-1.916,12.583,54.128
48064,1990-06-22 0:00:00,-1.916,12.582,54.125
48065,1990-06-23 0:00:00,-1.916,12.58,54.122
48066,1990-06-24 0:00:00,-1.916,12.579,54.119
48067,1990-06-25 0:00:00,-1.915,12.578,54.116
48068,1990-06-26 0:00:00,-1.915,12.576,54.113
48069,1990-06-27 0:00:00,-1.915,12.575,54.11
48070,1990-06-28 0:00:00,-1.915,12.574,54.107
48071,1990-06-29 0:00:00,-1.915,12.572,54.104
48072,1990-06-30 0:00:00,-1.915,12.571,54.101
48073,1990-07-01 0:00:00,-1.915,12.57,54.098
48074,1990-07-02 0:00:00,-1.915,12.569,54.095
48075,1990-07-03 0:00:00,-1.915,12.567,54.092
48076,1990-07-04 0:00:00,-1.915,12.566,54.089
48077,1990-07-05 0:00:00,-1.915,12.565,54.086
48078,1990-07-06 0:00:00,-1.914,12.563,54.083
48079,1990-07-07 0:00:00,-1.914,12.562,54.08
48080,1990-07-08 0:00:00,-1.914,12.561,54.077
48081,1990-07-09 0:00:00,-1.914,12.559,54.073
48082,1990-07-10 0:00:00,-1.914,12.558,54.07
48083,1990-07-11 0:00:00,-1.914,12.557,54.067
48084,1990-07-12 0:00:00,-1.914,12.556,54.064
48085,1990-07-13 0:00:00,-1.914,12.554,54.061
48086,1990-07-14 0:00:00,-1.914,12.553,54.058
48087,1990-07-15 0:00:00,-1.914,12.552,54.055
48088,1990-07-16 0:00:00,-1.914,12.55,54.052
48089,1990-07-17 0:00:00,-1.913,12.549,54.049
48090,1990-07-18 0:00:00,-1.913,12.548,54.046
48091,1990-07-19 0:00:00,-1.913,12.546,54.043
48092,1990-07-20 0:00:00,-1.913,12.545,54.04
48093,1990-07-21 0:00:00,-1.913,12.544,54.037
48094,1990-07-22 0:00:00,-1.913,12.543,54.034
48095,1990-07-23 0:00:00,-1.913,12.541,54.031
48096,1990-07-24 0:00:00,-1.913,12.54,54.028
48097,1990-07-25 0:00:00,-1.913,12.539,54.025
48098,1990-07-26 0:00:00,-1.913,12.537,54.022
48099,1990-07-27 0:00:00,-1.913,12.536,54.019
48100,1990-07-28 0:00:00,-1.913,12.535,54.016
48101,1990-07-29 0:00:00,-1.912,12.533,54.013
48102,1990-07-30 0:00:00,-1.912,12.532,54.01
48103,1990-07-31 0:00:00,-1.912,12.531,54.007
48104,1990-08-01 0:00:00,-1.912,12.53,54.004
48105,1990-08-02 0:00:00,-1.912,12.528,54.001
48106,1990-08-03 0:00:00,-1.912,12.527,53.998
48107,1990-08-04 0:00:00,-1.912,12.526,53.995
48108,1990-08-05 0:00:00,-1.912,12.524,53.992
48109,1990-08-06 0:00:00,-1.912,12.523,53.989
48110,1990-08-07 0:00:00,-1.912,12.522,53.986
48111,1990-08-08 0:00:00,-1.912,12.52,53.983
48112,1990-08-09 0:00:00,-1.911,12.519,53.98
48113,1990-08-10 0:00:00,-1.911,12.518,53.977
48114,1990-08-11 0:00:00,-1.911,12.517,53.974
48115,1990-08-12 0:00:00,-1.911,12.515,53.971
48116,1990-08-13 0:00:00,-1.911,12.514,53.968
48117,1990-08-14 0:00:00,-1.911,12.513,53.965
48118,1990-08-15 0:00:00,-1.911,12.511,53.962
48119,1990-08-16 0:00:00,-1.911,12.51,53.959
48120,1990-08-17 0:00:00,-1.911,12.509,53.956
48121,1990-08-18 0:00:00,-1.911,12.507,53.953
48122,1990-08-19 0:00:00,-1.911,12.506,53.95
48123,1990-08-20 0:00:00,-1.91,12.505,53.947
48124,1990-08-21 0:00:00,-1.91,12.503,53.944
48125,1990-08-22 0:00:00,-1.91,12.502,53.941
48126,1990-08-23 0:00:00,-1.91,12.501,53.938
48127,1990-08-24 0:00:00,-1.91,12.5,53.935
48128,1990-08-25 0:00:00,-1.91,12.498,53.932
48129,1990-08-26 0:00:00,-1.91,12.497,53.929
48130,1990-08-27 0:00:00,-1.91,12.496,53.926
48131,1990-08-28 0:00:00,-1.91,12.494,53.923
48132,1990-08-29 0:00:00,-1.91,12.493,53.92
48133,1990-08-30 0:00:00,-1.91,12.492,53.917
48134,1990-08-31 0:00:00,-1.91,12.49,53.914
48135,1990-09-01 0:00:00,-1.909,12.489,53.911
48136,1990-09-02 0:00:00,-1.909,12.488,53.908
48137,1990-09-03 0:00:00,-1.909,12.487,53.905
48138,1990-09-04 0:00:00,-1.909,12.485,53.902
48139,1990-09-05 0:00:00,-1.909,12.484,53.899
48140,1990-09-06 0:00:00,-1.909,12.483,53.896
48141,1990-09-07 0:00:00,-1.909,12.481,53.893
48142,1990-09-08 0:00:00,-1.909,12.48,53.89
48143,1990-09-09 0:00:00,-1.909,12.479,53.887
48144,1990-09-10 0:00:00,-1.909,12.477,53.884
48145,1990-09-11 0:00:00,-1.909,12.476,53.881
48146,1990-09-12 0:00:00,-1.908,12.475,53.878
48147,1990-09-13 0:00:00,-1.908,12.474,53.875
48148,1990-09-14 0:00:00,-1.908,12.472,53.872
48149,1990-09-15 0:00:00,-1.908,12.471,53.869
48150,1990-09-16 0:00:00,-1.908,12.47,53.866
48151,1990-09-17 0:00:00,-1.908,12.468,53.863
48152,1990-09-18 0:00:00,-1.908,12.467,53.86
48153,1990-09-19 0:00:00,-1.908,12.466,53.857
48154,1990-09-20 0:00:00,-1.908,12.464,53.854
48155,1990-09-21 0:00:00,-1.908,12.463,53.851
48156,1990-09-22 0:00:00,-1.908,12.462,53.848
48157,1990-09-23 0:00:00,-1.907,12.461,53.845
48158,1990-09-24 0:00:00,-1.907,12.459,53.842
48159,1990-09-25 0:00:00,-1.907,12.458,53.839
48160,1990-09-26 0:00:00,-1.907,12.457,53.836
48161,1990-09-27 0:00:00,-1.907,12.455,53.833
48162,1990-09-28 0:00:00,-1.907,12.454,53.83
48163,1990-09-29 0:00:00,-1.907,12.453,53.827
48164,1990-09-30 0:00:00,-1.907,12.451,53.824
48165,1990-10-01 0:00:00,-1.907,12.45,53.821
48166,1990-10-02 0:00:00,-1.907,12.449,53.818
48167,1990-10-03 0:00:00,-1.907,12.447,53.815
48168,1990-10-04 0:00:00,-1.907,12.446,53.812
48169,1990-10-05 0:00:00,-1.906,12.445,53.809
48170,1990-10-06 0:00:00,-1.906,12.444,53.806
48171,1990-10-07 0:00:00,-1.906,12.442,53.802
48172,1990-10-08 0:00:00,-1.906,12.441,53.799
48173,1990-10-09 0:00:00,-1.906,12.44,53.796
48174,1990-10-10 0:00:00,-1.906,12.438,53.793
48175,1990-10-11 0:00:00,-1.906,12.437,53.79
48176,1990-10-12 0:00:00,-1.906,12.436,53.787
48177,1990-10-13 0:00:00,-1.906,12.434,53.784
48178,1990-10-14 0:00:00,-1.906,12.433,53.781
48179,1990-10-15 0:00:00,-1.906,12.432,53.778
48180,1990-10-16 0:00:00,-1.905,12.431,53.775
48181,1990-10-17 0:00:00,-1.905,12.429,53.772
48182,1990-10-18 0:00:00,-1.905,12.428,53.769
48183,1990-10-19 0:00:00,-1.905,12.427,53.766
48184,1990-10-20 0:00:00,-1.905,12.425,53.763
48185,1990-10-21 0:00:00,-1.905,12.424,53.76
48186,1990-10-22 0:00:00,-1.905,12.423,53.757
48187,1990-10-23 0:00:00,-1.905,12.421,53.754
48188,1990-10-24 0:00:00,-1.905,12.42,53.751
48189,1990-10-25 0:00:00,-1.905,12.419,53.748
48190,1990-10-26 0:00:00,-1.905,12.418,53.745
48191,1990-10-27 0:00:00,-1.904,12.416,53.742
48192,1990-10-28 0:00:00,-1.904,12.415,53.739
48193,1990-10-29 0:00:00,-1.904,12.414,53.736
48194,1990-10-30 0:00:00,-1.904,12.412,53.733
48195,1990-10-31 0:00:00,-1.904,12.411,53.73
48196,1990-11-01 0:00:00,-1.904,12.41,53.727
48197,1990-11-02 0:00:00,-1.904,12.408,53.724
48198,1990-11-03 0:00:00,-1.904,12.407,53.721
48199,1990-11-04 0:00:00,-1.904,12.406,53.718
48200,1990-11-05 0:00:00,-1.904,12.404,53.715
48201,1990-11-06 0:00:00,-1.904,12.403,53.712
48202,1990-11-07 0:00:00,-1.904,12.402,53.709
48203,1990-11-08 0:00:00,-1.903,12.401,53.706
48204,1990-11-09 0:00:00,-1.903,12.399,53.703
48205,1990-11-10 0:00:00,-1.903,12.398,53.7
48206,1990-11-11 0:00:00,-1.903,12.397,53.697
48207,1990-11-12 0:00:00,-1.903,12.395,53.694
48208,1990-11-13 0:00:00,-1.903,12.394,53.691
48209,1990-11-14 0:00:00,-1.903,12.393,53.688
48210,1990-11-15 0:00:00,-1.903,12.391,53.685
48211,1990-11-16 0:00:00,-1.903,12.39,53.682
48212,1990-11-17 0:00:00,-1.903,12.389,53.679
48213,1990-11-18 0:00:00,-1.903,12.388,53.676
48214,1990-11-19 0:00:00,-1.902,12.386,53.673
48215,1990-11-20 0:00:00,-1.902,12.385,53.67
48216,1990-11-21 0:00:00,-1.902,12.384,53.667
48217,1990-11-22 0:00:00,-1.902,12.382,53.664
48218,1990-11-23 0:00:00,-1.902,12.381,53.661
48219,1990-11-24 0:00:00,-1.902,12.38,53.658
48220,1990-11-25 0:00:00,-1.902,12.378,53.655
48221,1990-11-26 0:00:00,-1.902,12.377,53.652
48222,1990-11-27 0:00:00,-1.902,12.376,53.649
48223,1990-11-28 0:00:00,-1.902,12.375,53.646
48224,1990-11-29 0:00:00,-1.902,12.373,53.643
48225,1990-11-30 0:00:00,-1.901,12.372,53.64
48226,1990-12-01 0:00:00,-1.901,12.371,53.636
48227,1990-12-02 0:00:00,-1.901,12.369,53.633
48228,1990-12-03 0:00:00,-1.901,12.368,53.63
48229,1990-12-04 0:00:00,-1.901,12.367,53.627
48230,1990-12-05 0:00:00,-1.901,12.365,53.624
48231,1990-12-06 0:00:00,-1.901,12.364,53.621
48232,1990-12-07 0:00:00,-1.901,12.363,53.618
48233,1990-12-08 0:00:00,-1.901,12.361,53.615
48234,1990-12-09 0:00:00,-1.901,12.36,53.612
48235,1990-12-10 0:00:00,-1.901,12.359,53.609
48236,1990-12-11 0:00:00,-1.901,12.358,53.606
48237,1990-12-12 0:00:00,-1.9,12.356,53.603
48238,1990-12-13 0:00:00,-1.9,12.355,53.6
48239,1990-12-14 0:00:00,-1.9,12.354,53.597
48240,1990-12-15 0:00:00,-1.9,12.352,53.594
48241,1990-12-16 0:00:00,-1.9,12.351,53.591
48242,1990-12-17 0:00:00,-1.9,12.35,53.588
48243,1990-12-18 0:00:00,-1.9,12.348,53.585
48244,1990-12-19 0:00:00,-1.9,12.347,53.582
48245,1990-12-20 0:00:00,-1.9,12.346,53.579
48246,1990-12-21 0:00:00,-1.9,12.345,53.576
48247,1990-12-22 0:00:00,-1.9,12.343,53.573
48248,1990-12-23 0:00:00,-1.899,12.342,53.57
48249,1990-12-24 0:00:00,-1.899,12.341,53.567
48250,1990-12-25 0:00:00,-1.899,12.339,53.564
48251,1990-12-26 0:00:00,-1.899,12.338,53.561
48252,1990-12-27 0:00:00,-1.899,12.337,53.558
48253,1990-12-28 0:00:00,-1.899,12.335,53.555
48254,1990-12-29 0:00:00,-1.899,12.334,53.552
48255,1990-12-30 0:00:00,-1.899,12.333,53.549
48256,1990-12-31 0:00:00,-1.899,12.331,53.546
48257,1991-01-01 0:00:00,-1.899,12.33,53.543
48258,1991-01-02 0:00:00,-1.899,12.329,53.54
48259,1991-01-03 0:00:00,-1.898,12.328,53.537
48260,1991-01-04 0:00:00,-1.898,12.326,53.534
48261,1991-01-05 0:00:00,-1.898,12.325,53.531
48262,1991-01-06 0:00:00,-1.898,12.324,53.528
48263,1991-01-07 0:00:00,-1.898,12.322,53.525
48264,1991-01-08 0:00:00,-1.898,12.321,53.522
48265,1991-01-09 0:00:00,-1.898,12.32,53.519
48266,1991-01-10 0:00:00,-1.898,12.318,53.516
48267,1991-01-11 0:00:00,-1.898,12.317,53.513
48268,1991-01-12 0:00:00,-1.898,12.316,53.51
48269,1991-01-13 0:00:00,-1.898,12.315,53.507
48270,1991-01-14 0:00:00,-1.898,12.313,53.503
48271,1991-01-15 0:00:00,-1.897,12.312,53.5
48272,1991-01-16 0:00:00,-1.897,12.311,53.497
48273,1991-01-17 0:00:00,-1.897,12.309,53.494
48274,1991-01-18 0:00:00,-1.897,12.308,53.491
48275,1991-01-19 0:00:00,-1.897,12.307,53.488
48276,1991-01-20 0:00:00,-1.897,12.305,53.485
48277,1991-01-21 0:00:00,-1.897,12.304,53.482
48278,1991-01-22 0:00:00,-1.897,12.303,53.479
48279,1991-01-23 0:00:00,-1.897,12.301,53.476
48280,1991-01-24 0:00:00,-1.897,12.3,53.473
48281,1991-01-25 0:00:00,-1.897,12.299,53.47
48282,1991-01-26 0:00:00,-1.896,12.298,53.467
48283,1991-01-27 0:00:00,-1.896,12.296,53.464
48284,1991-01-28 0:00:00,-1.896,12.295,53.461
48285,1991-01-29 0:00:00,-1.896,12.294,53.458
48286,1991-01-30 0:00:00,-1.896,12.292,53.455
48287,1991-01-31 0:00:00,-1.896,12.291,53.452
48288,1991-02-01 0:00:00,-1.896,12.29,53.449
48289,1991-02-02 0:00:00,-1.896,12.288,53.446
48290,1991-02-03 0:00:00,-1.896,12.287,53.443
48291,1991-02-04 0:00:00,-1.896,12.286,53.44
48292,1991-02-05 0:00:00,-1.896,12.284,53.437
48293,1991-02-06 0:00:00,-1.895,12.283,53.434
48294,1991-02-07 0:00:00,-1.895,12.282,53.431
48295,1991-02-08 0:00:00,-1.895,12.281,53.428
48296,1991-02-09 0:00:00,-1.895,12.279,53.425
48297,1991-02-10 0:00:00,-1.895,12.278,53.422
48298,1991-02-11 0:00:00,-1.895,12.277,53.419
48299,1991-02-12 0:00:00,-1.895,12.275,53.416
48300,1991-02-13 0:00:00,-1.895,12.274,53.413
48301,1991-02-14 0:00:00,-1.895,12.273,53.41
48302,1991-02-15 0:00:00,-1.895,12.271,53.407
48303,1991-02-16 0:00:00,-1.895,12.27,53.404
48304,1991-02-17 0:00:00,-1.895,12.269,53.401
48305,1991-02-18 0:00:00,-1.894,12.268,53.398
48306,1991-02-19 0:00:00,-1.894,12.266,53.395
48307,1991-02-20 0:00:00,-1.894,12.265,53.392
48308,1991-02-21 0:00:00,-1.894,12.264,53.388
48309,1991-02-22 0:00:00,-1.894,12.262,53.385
48310,1991-02-23 0:00:00,-1.894,12.261,53.382
48311,1991-02-24 0:00:00,-1.894,12.26,53.379
48312,1991-02-25 0:00:00,-1.894,12.258,53.376
48313,1991-02-26 0:00:00,-1.894,12.257,53.373
48314,1991-02-27 0:00:00,-1.894,12.256,53.37
48315,1991-02-28 0:00:00,-1.894,12.254,53.367
48316,1991-03-01 0:00:00,-1.893,12.253,53.364
48317,1991-03-02 0:00:00,-1.893,12.252,53.361
48318,1991-03-03 0:00:00,-1.893,12.251,53.358
48319,1991-03-04 0:00:00,-1.893,12.249,53.355
48320,1991-03-05 0:00:00,-1.893,12.248,53.352
48321,1991-03-06 0:00:00,-1.893,12.247,53.349
48322,1991-03-07 0:00:00,-1.893,12.245,53.346
48323,1991-03-08 0:00:00,-1.893,12.244,53.343
48324,1991-03-09 0:00:00,-1.893,12.243,53.34
48325,1991-03-10 0:00:00,-1.893,12.241,53.337
48326,1991-03-11 0:00:00,-1.893,12.24,53.334
48327,1991-03-12 0:00:00,-1.892,12.239,53.331
48328,1991-03-13 0:00:00,-1.892,12.237,53.328
48329,1991-03-14 0:00:00,-1.892,12.236,53.325
48330,1991-03-15 0:00:00,-1.892,12.235,53.322
48331,1991-03-16 0:00:00,-1.892,12.234,53.319
48332,1991-03-17 0:00:00,-1.892,12.232,53.316
48333,1991-03-18 0:00:00,-1.892,12.231,53.313
48334,1991-03-19 0:00:00,-1.892,12.23,53.31
48335,1991-03-20 0:00:00,-1.892,12.228,53.307
48336,1991-03-21 0:00:00,-1.892,12.227,53.304
48337,1991-03-22 0:00:00,-1.892,12.226,53.301
48338,1991-03-23 0:00:00,-1.891,12.224,53.298
48339,1991-03-24 0:00:00,-1.891,12.223,53.295
48340,1991-03-25 0:00:00,-1.891,12.222,53.292
48341,1991-03-26 0:00:00,-1.891,12.22,53.288
48342,1991-03-27 0:00:00,-1.891,12.219,53.285
48343,1991-03-28 0:00:00,-1.891,12.218,53.282
48344,1991-03-29 0:00:00,-1.891,12.217,53.279
48345,1991-03-30 0:00:00,-1.891,12.215,53.276
48346,1991-03-31 0:00:00,-1.891,12.214,53.273
48347,1991-04-01 0:00:00,-1.891,12.213,53.27
48348,1991-04-02 0:00:00,-1.891,12.211,53.267
48349,1991-04-03 0:00:00,-1.891,12.21,53.264
48350,1991-04-04 0:00:00,-1.89,12.209,53.261
48351,1991-04-05 0:00:00,-1.89,12.207,53.258
48352,1991-04-06 0:00:00,-1.89,12.206,53.255
48353,1991-04-07 0:00:00,-1.89,12.205,53.252
48354,1991-04-08 0:00:00,-1.89,12.204,53.249
48355,1991-04-09 0:00:00,-1.89,12.202,53.246
48356,1991-04-10 0:00:00,-1.89,12.201,53.243
48357,1991-04-11 0:00:00,-1.89,12.2,53.24
48358,1991-04-12 0:00:00,-1.89,12.198,53.237
48359,1991-04-13 0:00:00,-1.89,12.197,53.234
48360,1991-04-14 0:00:00,-1.89,12.196,53.231
48361,1991-04-15 0:00:00,-1.889,12.194,53.228
48362,1991-04-16 0:00:00,-1.889,12.193,53.225
48363,1991-04-17 0:00:00,-1.889,12.192,53.222
48364,1991-04-18 0:00:00,-1.889,12.19,53.219
48365,1991-04-19 0:00:00,-1.889,12.189,53.216
48366,1991-04-20 0:00:00,-1.889,12.188,53.213
48367,1991-04-21 0:00:00,-1.889,12.187,53.21
48368,1991-04-22 0:00:00,-1.889,12.185,53.207
48369,1991-04-23 0:00:00,-1.889,12.184,53.204
48370,1991-04-24 0:00:00,-1.889,12.183,53.201
48371,1991-04-25 0:00:00,-1.889,12.181,53.198
48372,1991-04-26 0:00:00,-1.888,12.18,53.194
